sheet,sub_table,column_position,column_label,cdid,sign_prefix,unit,table_code,classification,notes,item_code1,item_code2,item_code3,ko_name,ko_definition,source
Table_B,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FLUZ,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,12,Total debits,HBOO,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOO,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,4,Trade total,IKBJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBJ,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,5,"Primary income, Compensation of employees",IJAJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAJ,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,7,"Primary income, Other primary income",MT5X,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5X,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,9,"Secondary income, Central government",FNSV,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FNSV,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,10,"Secondary income, Other sectors",FNTC,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FNTC,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,2,Trade in goods,D28J,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28J,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,3,Trade in services,D28K,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28K,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,4,"Trade, Total",D28L,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28L,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,5,"Primary income,  Total",D28M,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28M,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,6,"Secondary income, Total",D28N,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28N,CA,,2차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,7,Current balance,AA6H,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,AA6H,CA,,경상수지 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_BX,1,2,"Exports of goods, excl. precious metals",FUS7,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS7,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,4,"Total exports, excl. precious metals",FUS8,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS8,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IJAH,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,7,"Primary income, Other primary income",MT5T,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,MT5T,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,9,"Secondary income, Central government",FHDM,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FHDM,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,10,"Secondary income, Other sectors",FHIB,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FHIB,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,12,"Total credits, excl. precious metals",FUS9,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS9,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,2,"Imports of goods, excl. precious metals",FUT2,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT2,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,4,"Total imports, excl. precious metals",FUT3,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT3,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IJAI,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,7,"Primary income, Other primary income",MT5V,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,MT5V,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,9,"Secondary income, Central government",FLUD,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FLUD,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FLUZ,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,12,"Total debits, excl. precious metals",FUT4,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT4,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,2,"Trade in goods, excl. precious metals",FUT5,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT5,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,4,"Trade total, excl. precious metals",FUT6,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT6,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,5,"Primary income, Compensation of employees",IJAJ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IJAJ,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,7,"Primary income, Other primary income",MT5X,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,MT5X,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,9,"Secondary income, Central government",FNSV,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FNSV,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,10,"Secondary income, Other sectors",FNTC,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FNTC,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,3,12,"Current balance, excl. precious metals",FUT7,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT7,CA,,경상수지 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,2,"Trade in goods, excl. precious metals",FUT8,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT8,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,3,Trade in services,D28K,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,D28K,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,4,"Total trade, excl. precious metals",FUT9,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT9,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,5,"Primary income,  Total",D28M,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,D28M,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,6,"Secondary income, Total",D28N,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,D28N,CA,,2차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,4,7,"Current balance, excl. precious metals",FUU2,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUU2,CA,,경상수지 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_C,1,2,Exports of goods,L87S,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87S,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,1,3,Exports of services,L854,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L854,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,1,4,Total exports,L84Y,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L84Y,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,1,5,"Primary income, credits",L872,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L872,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,1,6,"Secondary income, credits",L84S,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L84S,CA,,2차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,1,7,Total credits,L873,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L873,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,2,Imports of goods,L87U,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87U,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,3,Imports of services,L868,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L868,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,4,Total imports,L864,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L864,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,5,"Primary income, debits",L874,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L874,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,6,"Secondary income, debits",L85W,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L85W,CA,,2차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,2,7,Total debits,L875,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L875,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,2,Trade in goods,L87Q,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87Q,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,3,Trade in services,L86M,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L86M,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,4,Total trade,L86I,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L86I,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,5,"Primary income, balance",L876,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L876,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,6,"Secondary income, balance",L86E,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L86E,CA,,2차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,3,7,Total balance,L877,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L877,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,2,Exports of goods,L87M,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87M,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,3,Exports of services,L855,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L855,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,4,Total exports,L84Z,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L84Z,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,5,"Primary income, credits",L87D,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87D,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,6,"Secondary income, credits",L84T,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L84T,CA,,2차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,4,7,Total credits,L87E,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87E,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,5,2,Imports of goods,L87O,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87O,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,5,3,Imports of services,L869,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L869,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,5,4,Total imports,L865,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L865,CA,,경상수지(EU/non-EU 분해),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,5,5,"Primary income, debits",L87F,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L87F,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
Table_C,5,6,"Secondary income, debits",L85X,false,GBP million,C,CA-main,1997-1998 EU 결측 x,L85X,CA,,2차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 서비스 + SITC 상품 EU/non-EU 분해)
